nama,reviews,rating
Dewi Subagyo,"Kedai kopi ini terletak di depan Hotel Santika. Suasananya nyaman dan tempatnya nyaman untuk mengobrol dengan orang lain atau bekerja/belajar. Minumannya enak. Pelayanannya baik dan memuaskan 👍. Kami mencoba virgin mojito dan madame oyaki (kopi) (31.818 K masing-masing, belum termasuk pajak).
Sayangnya, ada beberapa perokok di dalam kedai, meskipun ruangannya ber-AC dan juga terdapat tanda larangan merokok di sekitar kedai.",4 bintang
Tiar Rachmadhan,"Salah satu tempat nongkrong asyik bersama teman dan keluarga di tengah kota Makassar, dengan live music di malam hari 😊",5 bintang
Anwar Jimpe Rachman,"Bagi yang merokok dan bisa melakukannya di dalam ruangan, tempat ini oke 👌 …",5 bintang
Michaela Vergunst,Kami bersenang-senang di sana. Kopinya enak dan camilannya juga.,5 bintang
Hamka Didit Ardiansyah,Tempat terbaik di kota ini,5 bintang
Mari L A,"Rekomendasi kafe di Makassar
Saya suka suasananya, makanan dan minumannya enak. Stafnya ramah.",5 bintang
Elisabeth Dessaux,"Tempat yang hangat dan ramah, seperti rumah kedua! Malam yang menyenangkan dan makanan lezat dengan tim yang fantastis dan sangat ramah!
Kami terus kembali! 😍 …",5 bintang
Neegy Zomzom,"Tempat yang ramah untuk mampir dan minum kopi (cappuccino dan moccachino-nya enak, lho).
Stafnya sangat ramah, mudah memesan dalam bahasa Inggris. Nah, kalau kamu nyari …",5 bintang
Verena Winderlich,"Tempatnya indah, kekinian banget! Saya pesan pizza vegan dengan bayam dan tomat, yang tidak ada di menu, tapi mereka buatkan khusus untuk saya! Enak banget. Saya bisa pesan minuman buah naga tanpa susu.",5 bintang
Bach Ray,Tempat nongkrong yang asyik bersama teman-teman. Ada banyak pilihan makanan dan minuman di menu. Ada juga musik live di mana Anda bisa meminta lagu agar bisa bernyanyi bersama. Ada ruang VIP untuk penggunaan pribadi. Toiletnya bersih dan juga tersedia mushola. Mantap!,5 bintang
Kees Maagdenberg,"Musiknya bagus, tidak terlalu keras. Pelayanannya bagus dan makanannya enak. Suasananya santai 👌 …",5 bintang
kAL Jack,Suasana sejuk meskipun cuaca di luar panas.,5 bintang
Anwar Jimpe Rachman,"Bagi yang merokok dan bisa melakukannya di dalam ruangan, tempat ini oke 👌",5 bintang
Elisabeth Dessaux,"Tempat yang hangat dan ramah, seperti rumah kedua! Malam yang menyenangkan dan makanan lezat dengan tim yang fantastis dan sangat ramah!
Kami terus kembali! 😍",5 bintang
Neegy Zomzom,"Tempat yang ramah untuk mampir dan minum kopi (cappuccino dan moccachino-nya enak, lho).
Stafnya sangat ramah, mudah memesan dalam bahasa Inggris. Nah, kalau kamu nyari kopi enak, jangan ragu untuk ke sana!
Satu-satunya kekurangannya adalah orang-orang merokok di dalam (yaaaah… kami sudah tidak terbiasa lagi di Uni Eropa…)",5 bintang
Kees Maagdenberg,"Musiknya bagus, tidak terlalu keras. Pelayanannya bagus dan makanannya enak. Suasananya santai 👌",5 bintang
Asano,Kafe yang nyaman,5 bintang
Argha Ariyanto,"Suasana bagus, makanan enak, kopi sempurna 💯
Area merokok dan non-merokok di dalam ruangan. Musik live setiap Jumat & Sabtu malam. …",5 bintang
ImOrdinary,Tempat yang bagus untuk menghabiskan waktu bersama teman-teman..,5 bintang
Keziaa Motinggo,Tempat nongkrong yang nyaman,5 bintang
Deianeira,Tempat yang nyaman,5 bintang
Simon Bosch,"Makanannya sangat enak, Pizza-nya luar biasa!",5 bintang
PIERE PINONTOAN,,5 bintang
Adha priyatnadi,,5 bintang
Khun Aguero,Nyaman,5 bintang
Ahya Ahmadan,,5 bintang
Kiki Sumarlin,,5 bintang
Lanski 151,,5 bintang
Ibnu 5061,Ada musik live👍 …,5 bintang
Kuhn Sawadee,Kafe terbaik,5 bintang
Inez Dwi,,5 bintang
Siti Zaskia,,5 bintang
Sui Yeng,Sempurna!!,5 bintang
muhammad ikhsan,,5 bintang
