nama,reviews,rating
Febriant Wardani,Sangat bagus terutama untuk para pelayan yang bertugas lebih ramah dan sigap membantu 👍🏻,5 bintang
Hanifa Syariah,"Suasana dan spot bagus, pelayanan nya juga Ramah bngett, kmarin 08 februari Siang ktemu salah satu waiters nya Cwok Putih tinggi alis nya tebal Klo gak salah namanya Andi,
Agak ksihan lhtnya Walau rame dia tetap bsa sndiri layani tamu, tp sangat di sayangkan makanan nya lambat keluar
Yaa gmn lgi maklum ada acara di lantai bawah.
Untuk masukan mungkin Pelayan nya di tambah dikit.. tapi untuk rasa makanan sangat Enaak terutama steak ayam nya dan Bgus tempat nya untuk ngedate👍
Respect buat Andii & Makanannya",5 bintang
Jusran Johan,"Makanannya enak
Tempatnya nyaman",4 bintang
irma sihite,"Tempatnya nyaman danluas, letaknya strategis.
Walaupun harganya cukup lumayan namun sepadan dengan suasana yg ada..",4 bintang
Yuli Auw,"Recommended Resto Guys. Buat kalian yang suka wisata kuliner wajib nyobain makan disini, selain rasanya mantullllll banget 😋 dan ngangenin🤤, banyak banget spot foto😎, wes pokok worth it banget makan disini. Nanti klo ke Makassar lagi pasti aku mampir lagi. 😍😍😍😍 …",5 bintang
Jared Stone,"Tempat yang cocok, rekomenda untuk kumpul bareng keluarga dan teman teman",5 bintang
Morina Rosalin,"Makanannya enak2 dan bervariasi, biscoff coffee nya enak. Pelayanannya gercep dan ramah.",5 bintang
Muhammad Rafi al buchari,Pelayanannya memuaskan…. Es krimnya enak 😍 …,5 bintang
Sri mami Agustin,"nyaman dan enak banget tempatnya, makanannya juga enak enak lov deh pokoknya....",5 bintang
Rizki Silla,"Menyediakan aneka macam makanan dan minuman kekinian.
Tempat parkir juga mudah.",5 bintang
Fatimah Azzahra DS Makka,Tempatnya nyaman makanannya juga enak,5 bintang
Andi Ulva,"Tempatnya bagus, pelayanannya cukup ramah dan cepat",5 bintang
Muhammad Rafi al buchari,Pelayanannya memuaskan…. Es krimnya enak 😍,5 bintang
mudhi andhika putra,"kami datang 11 orang kemarin siang, tempat 1 ruangan sendiri. pesan makanan dan makanan datang lebih dari 1 jam padahal kondisi resto tidak ramai. …",3 bintang
Indah Widi,"Keren sih tempat nya, makanan juga enak2 dan harga standart, vip nya juga bagus",5 bintang
sherly emmi yurah,Sangat Luar biasa menu menunya,5 bintang
Rafika Sabir,"Makanan dan minumannya enak2, next arisan family di sini deh... recommended smua mknannya👍❤️ …",5 bintang
nintai daijobu,"Recommended, tempatnya nyaman, makanannya enak2.. 👍 …",5 bintang
